GBIM_05501,Small nuclear ribonucleoprotein F,
GBIM_05504,Nuclear pore complex protein Nup75,
GBIM_05533,RING finger and CHY zinc finger domain-containing protein 1,
GBIM_05592,Testis-specific zinc finger protein topi,
GBIM_05819,Fez family zinc finger protein erm,
GBIM_05853,"Orphan nuclear receptor NR6A1, putative",
GBIM_05882,Paired box protein Pax-6,
GBIM_06113,Nuclear valosin-containing protein-like,
GBIM_06182,Heterogeneous nuclear ribonucleoprotein H,
GBIM_06192,Fez family zinc finger protein erm,
GBIM_06313,F-box-like/WD repeat-containing protein ebi,
GBIM_06485,Ets DNA-binding protein pokkuri,
GBIM_06486,"Putative single-stranded DNA-binding protein, mitochondrial",
GBIM_06499,Heterogeneous nuclear ribonucleoprotein 87F,
GBIM_06568,PR domain zinc finger protein 10,
GBIM_06696,Zinc finger protein jing homolog,
GBIM_06718,Small nuclear ribonucleoprotein Sm D3,
GBIM_06792,F-box/SPRY domain-containing protein 1,
GBIM_06870,Small nuclear ribonucleoprotein-associated protein B,
GBIM_07136,Homeobox protein B-H1,
GBIM_07158,Chromodomain-helicase-DNA-binding protein Mi-2 homolog,
GBIM_07300,Homeodomain-interacting protein kinase 2,
GBIM_07493,Polycomb protein Sfmbt,
GBIM_07643,Polycomb protein Sfmbt,
GBIM_07649,Nuclear export mediator factor NEMF homolog,
GBIM_07671,Tumor protein p53-inducible nuclear protein 1,
GBIM_07713,Nuclear transcription factor Y subunit gamma,
GBIM_07758,F-box only protein 21,
GBIM_07805,SPRY domain-containing SOCS box protein 3-like,
GBIM_07808,U11/U12 small nuclear ribonucleoprotein 48 kDa protein,
GBIM_07900,Small nuclear ribonucleoprotein-associated protein B,
GBIM_08072,Probable nuclear hormone receptor HR38,
GBIM_08118,Chromodomain-helicase-DNA-binding protein Mi-2 homolog,
GBIM_08222,Zinc finger protein-like 1,
GBIM_08241,Polycomb protein suz12-B,
GBIM_08254,Zinc finger FYVE domain-containing protein 9,
GBIM_08420,Fez family zinc finger protein erm,
GBIM_08451,Inhibitor of nuclear factor kappa-B kinase subunit beta,
GBIM_08640,Zinc finger FYVE domain-containing protein 26 homolog,
GBIM_08668,F-box protein At5g06550,
GBIM_08672,Zinc finger MYND domain-containing protein 11,
GBIM_08750,Zinc finger CCCH-type with G patch domain-containing protein,
GBIM_08758,U4/U6 small nuclear ribonucleoprotein Prp31,
GBIM_08814,Zinc finger CCHC domain-containing protein 4,
GBIM_08830,Zinc finger MYND domain-containing protein 11,
GBIM_08959,Brain-specific homeobox protein,
GBIM_09043,Acidic leucine-rich nuclear phosphoprotein 32 family member A,
GBIM_09058,Nuclear envelope phosphatase-regulatory subunit 1 homolog,
GBIM_09207,U2 small nuclear ribonucleoprotein A,
GBIM_09376,U6 small nuclear RNA (adenine-(43)-N(6))-methyltransferase,
GBIM_09401,Zinc finger RNA-binding protein,
GBIM_09439,Homeobox protein aristaless,
GBIM_09591,F-box/WD repeat-containing protein 7,
GBIM_09640,LIM/homeobox protein Awh,
GBIM_09768,T-box transcription factor TBX1-A,
GBIM_09772,Fez family zinc finger protein erm,
GBIM_09801,Nuclear distribution protein nudE homolog,
GBIM_09860,Probable small nuclear ribonucleoprotein Sm D1,
GBIM_09862,Nuclear RNA export factor 1,
GBIM_10021,Small nuclear ribonucleoprotein G,
GBIM_10028,Zinc finger CCCH domain-containing protein 15 homolog,
GBIM_10098,Putative f-box protein,
GBIM_10099,Testis-specific zinc finger protein topi,
GBIM_10118,nuclear envelope integral membrane protein 1,
GBIM_10153,Nuclear cap-binding protein subunit 2,
GBIM_10168,Nuclear receptor coactivator 7,
GBIM_10173,PR domain zinc finger protein 15,
GBIM_10189,DNA-binding protein D-ETS-4,
GBIM_10219,CTD nuclear envelope phosphatase 1 homolog,
GBIM_10305,Nuclear pore complex protein Nup93-1,
GBIM_10314,Nuclear pore complex protein Nup88,
GBIM_10328,DNA-binding protein SATB,
GBIM_10401,U2 small nuclear ribonucleoprotein auxiliary factor 35 kDa subunit-related protein 1,
GBIM_10419,Zinc finger protein sens,
GBIM_10435,PR domain zinc finger protein 15,
GBIM_10439,NEFA-interacting nuclear protein NIP30,
GBIM_10605,CTD nuclear envelope phosphatase 1 homolog,
GBIM_10616,WD repeat and HMG-box DNA-binding protein 1,
GBIM_10635,Nuclear pore complex protein Nup153,
GBIM_10662,Nuclear pore complex protein Nup98-Nup96,
GBIM_10664,LIM/homeobox protein Awh,
GBIM_10696,Nuclear receptor-binding protein homolog,
GBIM_10697,Putative nuclear membrane protein XMAN1,
GBIM_10819,Probable small nuclear ribonucleoprotein Sm D1,
GBIM_10991,Homeobox protein unplugged,
GBIM_11068,Zinc finger protein GLIS2 homolog,
GBIM_11211,Centrosome-associated zinc finger protein CP190,
GBIM_11282,Fez family zinc finger protein erm,
GBIM_11358,Nuclear factor NF-kappa-B p110 subunit,
GBIM_11543,CTD nuclear envelope phosphatase 1 homolog,
GBIM_11569,DEAD-box helicase Dbp80,
GBIM_11641,Zinc finger protein 609,
GBIM_11754,Zinc finger protein,
GBIM_11953,Zinc finger protein hangover,
GBIM_11996,F-box-like/WD repeat-containing protein ebi,
GBIM_12003,U1 small nuclear ribonucleoprotein 70 kDa,
GBIM_12016,Putative U5 small nuclear ribonucleoprotein 200 kDa helicase,
GBIM_12024,TATA box-binding protein-associated factor RNA polymerase I subunit B,
GBIM_12072,Nuclear pore complex protein Nup107,
GBIM_12300,TATA-box-binding protein,
GBIM_12473,Zinc finger CCCH domain-containing protein 14,
GBIM_12506,Homeobox protein homothorax,
GBIM_12553,Small nuclear ribonucleoprotein F,
GBIM_12621,Nuclear pore complex protein Nup160-like protein,
GBIM_12624,Nuclear pore complex protein Nup160 homolog,
GBIM_12673,Smad nuclear-interacting protein 1,
GBIM_12690,HMG domain-containing protein 4,
GBIM_12756,Homeobox protein aristaless,
GBIM_12757,Homeobox protein orthopedia,
GBIM_12802,Probable nuclear hormone receptor HR3,
GBIM_12891,Fez family zinc finger protein erm,
GBIM_13201,Enhancer of polycomb-like protein,
GBIM_13263,CCHC-type zinc finger protein CG3800,
GBIM_13341,Ladybird homeobox corepressor 1-like protein,
GBIM_13352,Heterogeneous nuclear ribonucleoprotein 27C,
GBIM_13435,Zinc finger protein 1,
GBIM_13558,"Heterogeneous nuclear ribonucleoprotein A1, A2/B1 homolog",
GBIM_13576,Zinc finger protein rotund,
GBIM_13669,Fez family zinc finger protein erm,
GBIM_13796,Nuclear inhibitor of protein phosphatase,
GBIM_14032,TOX high mobility group box family member 2,
GBIM_14258,Probable small nuclear ribonucleoprotein Sm D2,
GBIM_14268,Meiotic nuclear division protein 1 homolog,
GBIM_14349,F-box lrr-repeat protein 7,
GBIM_14609,F-box/LRR-repeat protein 12,
GBIM_14624,Visual system homeobox 2,
GBIM_14678,RanBP-type and C3HC4-type zinc finger-containing protein 1,
GBIM_14679,RanBP-type and C3HC4-type zinc finger-containing protein 1,
GBIM_14733,Probable nuclear hormone receptor HR3,
GBIM_14744,Zinc finger protein 774,
GBIM_14766,Nuclear pore glycoprotein p62,
GBIM_14792,Zinc finger protein sens,
GBIM_14835,F-box/LRR-repeat protein 4,
GBIM_14837,HMG box-containing protein 1,
GBIM_14848,DNA-binding protein D-ETS-6,
GBIM_14873,F-box/WD repeat-containing protein 7,
GBIM_14878,Homeobox protein Hmx,
GBIM_14906,Nuclear speckle splicing regulatory protein 1,
GBIM_14909,F-box/LRR-repeat protein 7,
GBIM_15008,F-box only protein 22,
GBIM_15168,Zinc finger protein JACKDAW,
GBIM_15179,Zinc finger C4H2 domain-containing protein,
GBIM_15343,Fez family zinc finger protein erm,
GBIM_15767,F-box/LRR-repeat protein 7,
GBIM_16025,Homeobox protein B-H1,
GBIM_16059,F-box/LRR-repeat protein 20,
GBIM_16093,Nuclear cap-binding protein subunit 2,
GBIM_16106,Fez family zinc finger protein erm,
GBIM_16152,F-box/WD repeat-containing protein 7,
GBIM_16158,Zinc finger MYND domain-containing protein 10 homolog,
GBIM_16201,Zinc finger protein 423 homolog,
GBIM_16218,Zinc finger SWIM domain-containing protein 7,
GBIM_16372,DNA-binding protein Ewg,
GBIM_16380,GTP-binding nuclear protein Ran,
GBIM_16433,Polycomb group protein Psc,
GBIM_16467,Nuclear factor related to kappa-b-binding protein isoform x2,
GBIM_16572,LIM/homeobox protein Awh,
GBIM_16576,Fez family zinc finger protein erm,
GBIM_16623,F-box/LRR-repeat protein 2,
GBIM_16630,Zinc finger matrin-type protein 5,
GBIM_16631,Nuclear pore complex protein Nup133,
GBIM_16998,Ankyrin repeat and zinc finger domain-containing protein 1,
GBIM_17095,GTP-binding nuclear protein Ran,
GBIM_17173,PEST proteolytic signal-containing nuclear protein,
GBIM_17331,F-box/WD repeat-containing protein 7,
GBIM_17386,Zinc finger Ran-binding domain-containing protein 2,
GBIM_17420,Zinc finger FYVE domain-containing protein 26 homolog,
GBIM_17544,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1 homolog,
GBIM_17731,Homeobox protein prospero,
GBIM_17761,Paired box pox-meso protein,
GBIM_17766,Polycomb group protein Pc,
GBIM_17830,Polycomb group RING finger protein 3,
GBIM_17901,TATA-box-binding protein,
GBIM_18093,F-box only protein 11-like Protein,
GBIM_18170,Zinc finger protein GLIS2 homolog,
GBIM_18257,Zinc finger protein 474,
GBIM_18300,TATA box-binding protein-like protein 1,
GBIM_18310,F-box only protein 9-like,
GBIM_18360,Pituitary homeobox homolog Ptx1,
GBIM_18439,CXXC-type zinc finger protein 1,
GBIM_18502,Homeobox protein B-H2,
GBIM_18629,Zinc finger protein ush,
GBIM_18634,"Zinc finger protein, putative",
GBIM_18704,RING-box protein 1A,
GBIM_18709,Zinc finger CCHC domain-containing protein 10,
GBIM_18825,RING-box protein 1A,
GBIM_18839,Zinc finger CCCH domain-containing protein 10,
GBIM_18870,Forkhead box protein J3,
GBIM_18959,Fez family zinc finger protein erm,
GBIM_19022,Zinc finger protein weckle,
GBIM_19039,Zinc finger CCHC domain-containing protein 24,
GBIM_19040,Zinc finger CCHC domain-containing protein 24,
GBIM_19042,Fez family zinc finger protein erm,
GBIM_19058,Zinc finger protein 2,
GBIM_19373,Zinc finger and SCAN domain-containing protein 20,
GBIM_19547,U4/U6 small nuclear ribonucleoprotein Prp3,
GBIM_19596,Putative helicase with zinc finger domain,
GBIM_19685,Zinc finger MIZ domain-containing protein 1,
GBIM_19996,Fez family zinc finger protein erm,
GBIM_20036,F-box only protein 11-like Protein,
GBIM_20057,Paired box protein Pax-6,
GBIM_20259,Zinc finger matrin-type protein CG9776,
GBIM_20342,Retinal homeobox protein Rx,
GBIM_20343,Paired box protein Pax-6,
GBIM_20367,Chromodomain-helicase-DNA-binding protein 3,
GBIM_20406,Zinc finger protein,
GBIM_20413,Zinc finger protein 658,
GBIM_20439,Nuclear factor NF-kappa-B p110 subunit,
GBIM_20491,Zinc finger CCHC domain-containing protein 2,
GBIM_20585,Zinc finger protein swm,
GBIM_21065,Probable U2 small nuclear ribonucleoprotein A',
GBIM_21120,Zinc finger protein sens,
GBIM_21267,Zinc finger protein 454,
GBIM_21593,Putative U5 small nuclear ribonucleoprotein 200 kDa helicase,
GBIM_21693,Zinc finger protein 423 homolog,
GBIM_21696,Polycomb group protein Psc,
GBIM_21816,F-box only protein 28,
GBIM_21832,Zinc finger protein 423 homolog,
GBIM_22032,Putative nuclear pore complex component sc seh1,
GBIM_22033,Polycomb complex protein BMI-1-B,
GBIM_22035,Zinc finger protein Noc,
GBIM_22040,Nuclear receptor-binding protein homolog,
GBIM_22099,F-box/LRR-repeat protein 14,
GBIM_22126,F-box/LRR-repeat protein 7,
GBIM_22174,Homeobox protein E60,
GBIM_00029,Protein Peter pan,
GBIM_00061,Krueppel-like factor luna,
GBIM_00136,Protein l(2)37Cc,
GBIM_00176,Carboxypeptidase D,
GBIM_00870,Pair-rule protein odd-paired,
GBIM_00979,Protein Fer3,
GBIM_00988,"Ecdysone-induced protein 75B, isoforms C/D",
GBIM_01183,"ATP synthase subunit d, mitochondrial",
GBIM_01263,Max-like protein X,
GBIM_01324,Basic helix-loop-helix neural transcription factor TAP,
GBIM_01875,INO80 complex subunit D,
GBIM_01944,Myb protein,
GBIM_01961,Transcription factor Ouib,
GBIM_02315,Eukaryotic translation initiation factor 3 subunit D,
GBIM_02316,Putative low-specificity L-threonine aldolase 2,
GBIM_02410,Blimp-1,
GBIM_02453,EF-hand domain-containing family member C2,
GBIM_02583,Transcription factor Ouib,
GBIM_02584,Protein sister of odd and bowel,
GBIM_02643,c-Myc-binding protein,
GBIM_02654,Defense protein l(2)34Fc,
GBIM_02658,Krueppel-like factor luna,
GBIM_02729,Y+L amino acid transporter 2,
GBIM_02833,Transcription factor Ken,
GBIM_03063,Transcription factor E2f1,
GBIM_03380,Venom serine protease Bi-VSP,
GBIM_03939,60 kDa SS-A/Ro ribonucleoprotein,
GBIM_04234,AP-2 complex subunit alpha,
GBIM_04645,L-Fucosyltransferase,
GBIM_04670,Carboxypeptidase D,
GBIM_04849,Tubulin-specific chaperone D,
GBIM_04898,AP-3 complex subunit sigma-1,
GBIM_04918,Chorion transcription factor Cf2,
GBIM_05131,Fork head domain transcription factor slp1,
GBIM_05546,L antigen family member 3,
GBIM_05614,Protein-L-isoaspartate(D-aspartate) O-methyltransferase,
GBIM_05761,"D-beta-hydroxybutyrate dehydrogenase, mitochondrial",
GBIM_05878,Gem-associated protein 8,
GBIM_06014,"Ribonuclease Z, mitochondrial",
GBIM_06048,CAD protein,
GBIM_06104,Protein Fer3,
GBIM_06114,"Longitudinals lacking protein, isoforms A/B/D/L",
GBIM_06337,Transcription factor Ken,
GBIM_06360,CAD protein,
GBIM_06647,L-lactate dehydrogenase,
GBIM_06650,L-lactate dehydrogenase,
GBIM_06652,L-lactate dehydrogenase,
GBIM_06653,L-lactate dehydrogenase,
GBIM_06665,AP complex subunit sigma,
GBIM_06698,Putative phospholipase d1,
GBIM_06791,Transcription factor Dp,
GBIM_06841,Alpha-L-iduronidase,
GBIM_06850,Bicaudal D-related protein homolog,
GBIM_06873,Eukaryotic translation initiation factor 3 subunit L,
GBIM_06880,"Longitudinals lacking protein, isoforms J/P/Q/S/Z",
GBIM_06980,ATP-binding cassette sub-family D member 3-like protein,
GBIM_07084,D-arabinose 1-dehydrogenase like protein,
GBIM_07121,High mobility group protein DSP1,
GBIM_07143,Cyclic AMP-dependent transcription factor ATF-2,
GBIM_07153,UBX domain-containing protein 4,
GBIM_07229,Myb-binding protein 1A,
GBIM_07315,CAD protein,
GBIM_07317,CAD protein,
GBIM_07773,D-aspartate oxidase,
GBIM_08033,Fork head domain transcription factor slp1,
GBIM_08046,ETV5-related protein Ets96B,
GBIM_08097,D-glucuronyl C5-epimerase,
GBIM_08286,AP-3 complex subunit beta,
GBIM_08465,Cellular tumor antigen p53,
GBIM_08594,"Longitudinals lacking protein, isoforms A/B/D/L",
GBIM_08595,Transcription factor btd,
GBIM_08609,Protein odd-skipped,
GBIM_08610,Protein sister of odd and bowel,
GBIM_08810,N-acetyl-D-glucosamine kinase,
GBIM_09286,Gem-associated protein 6,
GBIM_09363,Krueppel-like factor luna,
GBIM_09540,disco-interacting protein 2 homolog B-A-like,
GBIM_09543,Disco-interacting protein 2,
GBIM_09649,Carboxypeptidase D,
GBIM_09662,Transcription factor btd,
GBIM_09882,High mobility group protein DSP1,
GBIM_09993,Fork head domain transcription factor slp2,
GBIM_10049,Krueppel-like factor luna,
GBIM_10987,Cathepsin L-like proteinase,
GBIM_11086,"EF-hand domain-containing protein, putative",
GBIM_11160,EF-hand calcium-binding domain-containing protein 4B,
GBIM_11265,EF-hand calcium-binding domain-containing protein 1,
GBIM_11525,Cathepsin L,
GBIM_12104,Cellular tumor antigen p53,
GBIM_12161,Putative alpha-L-fucosidase,
GBIM_12254,Transcription factor cwo,
GBIM_12480,High mobility group protein DSP1,
GBIM_12819,AP-3 complex subunit delta,
GBIM_12840,Tumor suppressor p53-binding protein 1,
GBIM_13040,AP-3 complex subunit delta-1,
GBIM_13045,Fork head domain transcription factor slp1,
GBIM_13208,Transcription factor AP-1,
GBIM_13308,Venom serine protease Bi-VSP,
GBIM_13513,L-methionine gamma-lyase,
GBIM_13550,RUN domain-containing protein 1,
GBIM_13716,Putative alpha-L-fucosidase,
GBIM_13745,AP-4 complex subunit beta-1,
GBIM_13766,Protein l(2)37Cc,
GBIM_13805,Basic helix-loop-helix neural transcription factor TAP,
GBIM_14118,Krueppel-like factor luna,
GBIM_14147,Putative alpha-L-fucosidase,
GBIM_14194,GDP-D-glucose phosphorylase 1,
GBIM_14423,Protein max,
GBIM_14464,"Longitudinals lacking protein, isoforms J/P/Q/S/Z",
GBIM_14570,Transcription factor Ken 1,
GBIM_14573,Apolipoprotein D,
GBIM_14657,Negative elongation factor D,
GBIM_14756,V-type proton ATPase subunit d,
GBIM_14790,Putative hybrid signal transduction histidine kinase l-like protein,
GBIM_14794,Transcription factor AP-1,
GBIM_14913,Max-binding protein MNT,
GBIM_14914,Myc protein,
GBIM_14978,Transcription factor btd,
GBIM_15042,Ras-related GTP-binding protein D,
GBIM_15138,UBX domain-containing protein 6,
GBIM_15180,Cathepsin L,
GBIM_15182,Cathepsin L,
GBIM_15256,Glycoprotein 3-alpha-L-fucosyltransferase A,
GBIM_15400,Transcription factor Ken 1,
GBIM_15405,L-serine dehydratase/L-threonine deaminase,
GBIM_15492,"Run and tbc1 domain-containing protein, putative",
GBIM_15658,Transcriptional regulator ovo,
GBIM_15698,Putative alpha-L-fucosidase,
GBIM_15926,Carboxypeptidase D,
GBIM_16077,Cathepsin L,
GBIM_16207,Myb protein,
GBIM_16469,Fork head domain transcription factor slp1,
GBIM_16545,Protein hu-li tai shao,
GBIM_16665,Tether containing UBX domain for GLUT4,
GBIM_16916,REPTOR-binding partner,
GBIM_17018,Glycoprotein 3-alpha-L-fucosyltransferase A,
GBIM_17019,Glycoprotein 3-alpha-L-fucosyltransferase A,
GBIM_17029,D-ribitol-5-phosphate cytidylyltransferase,
GBIM_17086,Chorion transcription factor Cf2,
GBIM_17265,Y+L amino acid transporter 2,
GBIM_17266,Y+L amino acid transporter 2,
GBIM_17289,Protein jim lovell,
GBIM_17398,Chorion transcription factor Cf2,
GBIM_17416,Protein odd-skipped,
GBIM_17529,L-lactate dehydrogenase,
GBIM_17550,Apolipoprotein D,
GBIM_17618,Pre-mRNA-splicing regulator female-lethal(2)D,
GBIM_17688,Protein sister of odd and bowel,
GBIM_17722,Calpain-D,
GBIM_17824,D-aspartate oxidase,
GBIM_18147,Apolipoprotein D,
GBIM_18271,Protein bicaudal D,
GBIM_18309,Probable isoaspartyl peptidase/L-asparaginase CG7860,
GBIM_18442,Apolipoprotein D,
GBIM_18443,"1,5-anhydro-D-fructose reductase",
GBIM_18452,AP complex subunit beta,
GBIM_18516,Transcriptional regulator ovo,
GBIM_18814,High mobility group protein D,
GBIM_18818,AP complex subunit sigma,
GBIM_18989,Probable isoaspartyl peptidase/L-asparaginase GA20639,
GBIM_19346,Putative hnrnp-l/ptb/hephaestus splicing factor family,
GBIM_19438,Basic helix-loop-helix transcription factor amos,
GBIM_19495,V-type proton ATPase subunit D 1,
GBIM_19527,AP complex subunit sigma,
GBIM_19629,"Glutathione S-transferase 1, isoform D",
GBIM_19977,Cyclin-D1-binding protein 1-like protein,
GBIM_20009,AP-2 complex subunit alpha,
GBIM_20017,Putative alpha-L-fucosidase,
GBIM_20263,Protein-L-isoaspartate(D-aspartate) O-methyltransferase,
GBIM_20609,CAD protein,
GBIM_20908,L-Fucosyltransferase,
GBIM_20909,L-Fucosyltransferase,
GBIM_21037,D-aminoacyl-tRNA deacylase,
GBIM_21195,Transcription factor Dp-1,
GBIM_21265,"Ecdysone-induced protein 75B, isoforms C/D",
GBIM_21273,"Ribonuclease Z, mitochondrial",
GBIM_21690,L-Fucosyltransferase,
GBIM_22063,"Longitudinals lacking protein, isoforms A/B/D/L",
